latent_index,spearman,p_value
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,0.07243989595159285,0.4738473511773704
1142,,
1143,0.5129539119971845,4.854100558483198e-08
1144,,
1145,,
1146,,
1147,,
1148,,
1149,0.433565258630752,6.604894710431993e-06
1150,,
1151,,
1152,,
1153,,
1154,,
1155,0.16036748006182233,0.11097037803732376
1156,,
1157,0.036946027118452386,0.7151562857052562
1158,,
1159,-0.5228669925233634,2.3973106580922035e-08
1160,0.2374878861892139,0.017351898970324443
1161,,
1162,,
1163,-0.2714395869259694,0.006299750854772379
1164,0.0065947188246189975,0.9480794377914727
1165,,
1166,,
1167,0.4897373813944085,2.326450689590674e-07
1168,-0.23679181031691565,0.017692750103770825
1169,0.30663942370960456,0.0019159925861844053
1170,,
1171,,
1172,,
1173,,
1174,-0.2920398323535554,0.0031959157108202123
1175,-0.36001524167592486,0.0002340999668313216
1176,,
1177,,
1178,,
1179,,
1180,-0.04171054645125264,0.6803095099204344
1181,,
1182,-0.27098953787060415,0.006390323637697684
1183,,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,0.1935871010018503,0.05362791926320015
1192,-0.2702634587279482,0.0065388810161774325
1193,0.1479761294040987,0.1417626162097416
1194,,
1195,,
1196,-0.2005538603789046,0.04542469819322604
1197,,
1198,,
1199,-0.17849545601193512,0.07559924610277044
1200,0.3743027990202541,0.00012484832991121087
1201,,
1202,,
1203,,
1204,0.3521903887666408,0.0003262933202570626
1205,0.36125737706873295,0.0002219051413072781
1206,,
1207,,
1208,,
1209,,
1210,,
1211,,
1212,-0.2657389655580094,0.0075354261036920936
1213,0.1522425944489614,0.13050475239990875
1214,0.1345706682082854,0.1819194187406273
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,-0.06531711956867861,0.5185065638385269
1222,,
1223,,
1224,,
1225,,
1226,-0.22109409926577522,0.02706512149559935
1227,-0.2756880500086175,0.005499228539958051
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,-0.2207707263253227,0.027295771827068892
1235,-0.16602609685128158,0.09876590892360887
1236,0.13969522678537785,0.16568692826197615
1237,,
1238,-0.3930336935404515,5.233198393455339e-05
1239,,
1240,0.6550914049896778,1.4226267396399942e-13
1241,,
1242,0.1982856131398637,0.04797278319512024
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,-0.03773811345589525,0.7093201143849694
1252,0.2541937071243725,0.01070930569486838
1253,,
1254,0.07279393454181352,0.47168324442092124
1255,,
1256,,
1257,,
1258,,
1259,0.3577229918205977,0.000258244005196064
1260,0.19773955361935383,0.048603559778060954
1261,,
1262,0.3866281424831908,7.08722628926937e-05
1263,,
1264,,
1265,0.2517634422254001,0.011509950815376552
1266,,
1267,0.5990092920370945,4.598512235793129e-11
1268,,
1269,0.43449536001184025,6.2783923815370995e-06
1270,,
1271,-0.4595720933767927,1.5104856102805423e-06
1272,,
1273,,
1274,,
1275,,
1276,,
1277,0.36908823063208857,0.00015758032124970554
1278,,
1279,,
1280,,
1281,,
1282,,
1283,0.3568048917476526,0.0002685433956054113
1284,0.3830397513484118,8.37687288362887e-05
1285,,
1286,0.24665088495645068,0.013366713542573443
1287,,
1288,0.3852479920467373,7.5596369277045e-05
1289,-0.1703165645124304,0.09023593866246966
1290,,
